id;commentaires;premiere_diffusion_episode;titre_episode;numero_episode;note;duree;numero_saison;resume_episode;votes;pays;premiere_diffusion_serie;genres_serie;titre_serie;status_serie;resume_serie;annee_premiere_diffusion_serie
75369;2;2007-09-25 00:00:00;Pilot;1;8.04218;22;1;Brilliant physicist roommates Leonard and Sheldon meet their new neighbor Penny, who begins showing them that as much as they know about science, they know little about actual living.;6283;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75370;2;2007-10-02 00:00:00;The Big Bran Hypothesis;2;8.02221;21;1;Leonard volunteers to sign for a package in an attempt to make a good impression on Penny, but when he enlists Sheldon for help, his attempt at chivalry goes terribly awry.;4682;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75371;0;2007-10-09 00:00:00;The Fuzzy Boots Corollary;3;7.8539200000000005;22;1;Leonard asks a woman out after he finds out that Penny is seeing someone.;4073;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75372;0;2007-10-16 00:00:00;The Luminous Fish Effect;4;7.92729;20;1;Sheldon's getting fired forces him to explore what life has to offer outside physics, leaving Leonard to take drastic action to snap his friend out of his funk.;3837;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75373;0;2007-10-23 00:00:00;The Hamburger Postulate;5;7.9352;20;1;Fearing he's wasting his time on Penny, Leonard ends up making a connection with Leslie.;3534;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75374;1;2007-10-30 00:00:00;The Middle Earth Paradigm;6;8.02035;21;1;Penny hosts a Hallowe'en party, putting Leonard, Sheldon, Wolowitz, and Koothrappali through a new test of their social skills.;3440;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75375;0;2007-11-06 01:00:00;The Dumpling Paradox;7;8.00672;21;1;With Wolowitz AWOL with one of her friends, Penny's recruited to fill in for him on the guys' Halo team;3423;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75376;1;2007-11-13 01:00:00;The Grasshopper Experiment;8;7.98161;20;1;Raj's parents set him up on a blind date, but just when he discovers he can talk to her, she shows interest in Sheldon.;3262;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75377;0;2008-03-18 00:00:00;The Cooper-Hofstadter Polarization;9;8.0;19;1;When they're invited to present at a physics conference, Sheldon's reluctance to share the credit leads to a tiff between him and  Leonard, and Penny's intervention only exacerbates the situation.;3117;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75378;0;2008-03-25 00:00:00;The Loobenfeld Decay;10;7.88518;20;1;Leonard and Sheldon each lie to avoid seeing Penny's concert, but Sheldon's is a bit too complicated for his own good.;3083;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75379;0;2008-04-01 00:00:00;The Pancake Batter Anomaly;11;7.97236;22;1;With his friends knowing how sour he acts when sick—and avoiding him as a result—Sheldon is nursed by Penny, who hasn't a clue what she's in for.;3039;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75380;0;2008-04-15 00:00:00;The Jerusalem Duality;12;7.89171;20;1;With Sheldon rattled over meeting Dennis, a 15-year-old physicist who's smarter than he, Leonard helps him look for a way to debunk Dennis's research.;2992;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75381;2;2008-04-22 00:00:00;The Bat Jar Conjecture;13;7.9801;21;1;Sheldon finds himself booted from the gang's Physics Bowl team and replaced with Leslie, so he forms his own team, hoping to prove he's superior.;2865;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
75382;3;2008-04-29 00:00:00;The Nerdvana Annihilation;14;7.99531;20;1;When delivery of another collectible leads to Penny's lashing out at Leonard, he decides it's time to give up his habit, much to his friends' protestation.;2770;us;2007-09-25 00:00:00;['comedy'];The Big Bang Theory;ended;A woman who moves into an apartment across the hall from two brilliant but socially awkward physicists shows them how little they know about life outside of the laboratory.;2007.0
